id,question,difficulty,category,date
798,What are the key differences between classification and regression?,Easy,Machine Learning,2025-07-03
799,What is the difference between bagging and boosting?,Easy,Machine Learning,2025-05-31
800,What is principal component analysis (PCA)?,Medium,Data Science,2025-05-03
801,What is regularization and why is it important?,Hard,Machine Learning,2025-02-06
802,How would you optimize a machine learning model?,Hard,Machine Learning,2024-10-27
803,How would you optimize a machine learning model?,Medium,Machine Learning,2025-02-09
804,How would you optimize a machine learning model?,Easy,Machine Learning,2025-05-04
805,Explain cross-validation and its purpose.,Easy,Machine Learning,2025-06-12
806,How would you optimize a machine learning model?,Easy,Machine Learning,2024-08-25
807,How would you explain the concept of overfitting?,Easy,Machine Learning,2025-07-22
808,Describe the process of feature selection.,Easy,Machine Learning,2025-07-07
809,What is principal component analysis (PCA)?,Medium,Data Science,2025-06-23
810,Describe a challenging machine learning project you have worked on.,Medium,Machine Learning,2025-06-20
811,Can you explain the concept of gradient descent?,Hard,Machine Learning,2024-10-04
812,What is the bias-variance tradeoff?,Easy,Machine Learning,2024-11-27
813,What is the role of activation functions in deep learning?,Hard,Deep Learning,2025-06-03
814,How would you optimize a machine learning model?,Easy,Machine Learning,2024-09-01
815,What are the advantages of ensemble methods?,Medium,Machine Learning,2024-08-21
816,Can you explain the concept of gradient descent?,Hard,Machine Learning,2024-12-04
817,How would you approach data cleaning for a large dataset?,Hard,Data Science,2024-09-10
818,Describe the process of backpropagation.,Hard,Deep Learning,2024-08-10
819,What is the bias-variance tradeoff?,Hard,Machine Learning,2024-07-31
820,How would you optimize a machine learning model?,Medium,Machine Learning,2024-11-28
821,Describe the process of backpropagation.,Hard,Deep Learning,2025-02-22
822,Describe a challenging machine learning project you have worked on.,Medium,Machine Learning,2025-03-23
823,What is the difference between bagging and boosting?,Medium,Machine Learning,2025-04-12
824,How does a neural network work?,Hard,Deep Learning,2025-03-04
825,Explain cross-validation and its purpose.,Hard,Machine Learning,2024-11-20
826,How do you handle missing values in a dataset?,Easy,Data Science,2024-10-21
827,What metrics would you use to evaluate a regression model?,Medium,Machine Learning,2025-03-31
828,How does a neural network work?,Medium,Deep Learning,2024-09-18
829,What is principal component analysis (PCA)?,Hard,Data Science,2024-12-27
830,What is the role of activation functions in deep learning?,Hard,Deep Learning,2024-12-20
831,How do you handle missing values in a dataset?,Easy,Data Science,2024-09-19
832,Describe a challenging machine learning project you have worked on.,Hard,Machine Learning,2024-08-05
833,Explain cross-validation and its purpose.,Hard,Machine Learning,2025-05-07
834,What is regularization and why is it important?,Easy,Machine Learning,2024-12-16
835,Describe the process of backpropagation.,Easy,Deep Learning,2025-06-16
836,What metrics would you use to evaluate a regression model?,Medium,Machine Learning,2025-05-29
837,How would you explain the concept of overfitting?,Easy,Machine Learning,2024-09-16
838,What is the role of activation functions in deep learning?,Easy,Deep Learning,2025-04-24
839,Explain cross-validation and its purpose.,Hard,Machine Learning,2025-07-26
840,What is the role of activation functions in deep learning?,Medium,Deep Learning,2024-08-19
841,What metrics would you use to evaluate a regression model?,Easy,Machine Learning,2024-12-01
842,What metrics would you use to evaluate a regression model?,Hard,Machine Learning,2024-12-05
843,What is the role of activation functions in deep learning?,Easy,Deep Learning,2024-12-22
844,What is principal component analysis (PCA)?,Hard,Data Science,2024-11-04
845,How does a neural network work?,Medium,Deep Learning,2024-09-09
846,Describe the process of feature selection.,Medium,Machine Learning,2024-10-02
847,How do you handle missing values in a dataset?,Hard,Data Science,2025-01-04
848,What is the bias-variance tradeoff?,Hard,Machine Learning,2024-11-17
849,What metrics would you use to evaluate a regression model?,Easy,Machine Learning,2025-04-18
850,Explain the difference between L1 and L2 regularization.,Medium,Machine Learning,2025-03-07
851,What are the advantages of ensemble methods?,Easy,Machine Learning,2024-08-25
852,What metrics would you use to evaluate a regression model?,Easy,Machine Learning,2024-08-08
853,How would you explain the concept of overfitting?,Hard,Machine Learning,2025-03-28
854,Describe a challenging machine learning project you have worked on.,Medium,Machine Learning,2024-09-29
855,What is the difference between bagging and boosting?,Hard,Machine Learning,2024-10-12
856,What is your favorite machine learning algorithm and why?,Easy,Machine Learning,2024-10-23
857,Explain the difference between L1 and L2 regularization.,Medium,Machine Learning,2025-04-27
858,Explain the difference between L1 and L2 regularization.,Easy,Machine Learning,2024-08-11
859,What is regularization and why is it important?,Hard,Machine Learning,2024-09-11
860,Describe the process of backpropagation.,Medium,Deep Learning,2025-04-13
861,What is principal component analysis (PCA)?,Easy,Data Science,2025-06-11
862,What metrics would you use to evaluate a regression model?,Hard,Machine Learning,2024-12-12
863,How does a neural network work?,Medium,Deep Learning,2024-09-28
864,What is regularization and why is it important?,Medium,Machine Learning,2024-08-11
865,How would you optimize a machine learning model?,Easy,Machine Learning,2025-03-20
866,What is the bias-variance tradeoff?,Hard,Machine Learning,2025-07-28
867,Explain cross-validation and its purpose.,Hard,Machine Learning,2025-01-07
868,What is the role of activation functions in deep learning?,Easy,Deep Learning,2025-06-08
869,Can you explain the concept of gradient descent?,Easy,Machine Learning,2025-04-30
870,What are the key differences between classification and regression?,Hard,Machine Learning,2025-04-20
871,What is your favorite machine learning algorithm and why?,Hard,Machine Learning,2024-09-04
872,How would you optimize a machine learning model?,Easy,Machine Learning,2024-10-10
873,Explain cross-validation and its purpose.,Medium,Machine Learning,2025-04-14
874,How does a neural network work?,Medium,Deep Learning,2025-04-20
875,How would you optimize a machine learning model?,Hard,Machine Learning,2024-10-26
876,How would you explain the concept of overfitting?,Medium,Machine Learning,2025-07-12
877,What metrics would you use to evaluate a regression model?,Hard,Machine Learning,2025-01-18
878,What is principal component analysis (PCA)?,Medium,Data Science,2024-10-08
879,Explain the difference between L1 and L2 regularization.,Medium,Machine Learning,2025-07-25
880,How would you approach data cleaning for a large dataset?,Hard,Data Science,2025-01-04
881,What is the role of activation functions in deep learning?,Hard,Deep Learning,2025-01-29
882,What are the advantages of ensemble methods?,Medium,Machine Learning,2025-01-08
883,Explain cross-validation and its purpose.,Medium,Machine Learning,2025-02-26
884,What are the advantages of ensemble methods?,Hard,Machine Learning,2025-07-12
885,How would you optimize a machine learning model?,Hard,Machine Learning,2024-08-31
886,Describe the process of backpropagation.,Hard,Deep Learning,2024-12-16
887,What is the role of activation functions in deep learning?,Medium,Deep Learning,2025-01-05
888,Can you explain the concept of gradient descent?,Medium,Machine Learning,2025-04-08
889,What are the advantages of ensemble methods?,Hard,Machine Learning,2025-01-10
890,What is the role of activation functions in deep learning?,Easy,Deep Learning,2024-08-13
891,How would you optimize a machine learning model?,Easy,Machine Learning,2025-07-28
892,Describe a challenging machine learning project you have worked on.,Easy,Machine Learning,2024-12-23
893,How does a neural network work?,Hard,Deep Learning,2025-02-19
894,Explain the difference between L1 and L2 regularization.,Easy,Machine Learning,2024-07-31
895,What are the key differences between classification and regression?,Hard,Machine Learning,2025-04-26
896,Explain cross-validation and its purpose.,Medium,Machine Learning,2025-03-02
897,What is the difference between bagging and boosting?,Easy,Machine Learning,2025-04-27
898,Explain cross-validation and its purpose.,Hard,Machine Learning,2024-08-19
899,How do you handle missing values in a dataset?,Hard,Data Science,2025-05-12
900,What is principal component analysis (PCA)?,Medium,Data Science,2024-10-12
901,What is principal component analysis (PCA)?,Easy,Data Science,2024-10-04
902,Explain the difference between L1 and L2 regularization.,Medium,Machine Learning,2024-11-10
903,How would you explain the concept of overfitting?,Hard,Machine Learning,2025-07-24
904,What is your favorite machine learning algorithm and why?,Easy,Machine Learning,2025-06-01
905,What is regularization and why is it important?,Medium,Machine Learning,2025-02-05
906,What are the key differences between classification and regression?,Easy,Machine Learning,2024-08-11
907,Can you explain the concept of gradient descent?,Hard,Machine Learning,2025-05-15
908,Can you explain the concept of gradient descent?,Hard,Machine Learning,2024-11-08
909,What is regularization and why is it important?,Medium,Machine Learning,2025-01-25
910,What is your favorite machine learning algorithm and why?,Medium,Machine Learning,2025-05-17
911,How would you explain the concept of overfitting?,Easy,Machine Learning,2025-01-26
912,How would you optimize a machine learning model?,Medium,Machine Learning,2025-05-14
913,What metrics would you use to evaluate a regression model?,Hard,Machine Learning,2025-05-03
914,What is the difference between bagging and boosting?,Easy,Machine Learning,2025-02-18
915,What is the role of activation functions in deep learning?,Hard,Deep Learning,2024-10-26
916,Explain the difference between L1 and L2 regularization.,Hard,Machine Learning,2025-04-07
917,Describe a challenging machine learning project you have worked on.,Hard,Machine Learning,2024-10-21
918,How would you optimize a machine learning model?,Medium,Machine Learning,2025-02-17
919,How would you approach data cleaning for a large dataset?,Medium,Data Science,2025-03-08
920,Describe the process of backpropagation.,Easy,Deep Learning,2025-06-12
921,What is regularization and why is it important?,Hard,Machine Learning,2025-07-27
922,What metrics would you use to evaluate a regression model?,Medium,Machine Learning,2025-06-07
923,Describe the process of backpropagation.,Medium,Deep Learning,2024-10-07
924,Explain the difference between L1 and L2 regularization.,Medium,Machine Learning,2024-11-09
925,Describe the process of backpropagation.,Hard,Deep Learning,2025-04-23
926,Can you explain the concept of gradient descent?,Medium,Machine Learning,2025-05-26
927,What is regularization and why is it important?,Easy,Machine Learning,2024-10-15
928,What is principal component analysis (PCA)?,Easy,Data Science,2024-09-19
929,How would you explain the concept of overfitting?,Easy,Machine Learning,2024-08-04
930,Describe a challenging machine learning project you have worked on.,Easy,Machine Learning,2025-03-08
931,What is regularization and why is it important?,Medium,Machine Learning,2025-04-16
932,What is your favorite machine learning algorithm and why?,Easy,Machine Learning,2025-04-29
933,What are the key differences between classification and regression?,Hard,Machine Learning,2025-06-05
934,Can you explain the concept of gradient descent?,Medium,Machine Learning,2025-02-09
935,What is principal component analysis (PCA)?,Easy,Data Science,2025-07-29
936,What is the bias-variance tradeoff?,Easy,Machine Learning,2024-10-06
937,What is principal component analysis (PCA)?,Medium,Data Science,2025-02-20
938,What is the difference between bagging and boosting?,Medium,Machine Learning,2025-01-23
939,Describe the process of feature selection.,Medium,Machine Learning,2025-04-10
940,Explain the difference between L1 and L2 regularization.,Easy,Machine Learning,2025-01-18
941,Can you explain the concept of gradient descent?,Easy,Machine Learning,2025-04-08
942,What are the key differences between classification and regression?,Medium,Machine Learning,2025-07-13
943,Explain the difference between L1 and L2 regularization.,Medium,Machine Learning,2025-03-28
944,Describe the process of backpropagation.,Medium,Deep Learning,2025-06-07
945,What are the key differences between classification and regression?,Hard,Machine Learning,2024-09-09
946,How do you handle missing values in a dataset?,Hard,Data Science,2025-01-04
947,What are the advantages of ensemble methods?,Medium,Machine Learning,2024-12-18
948,How does a neural network work?,Hard,Deep Learning,2024-10-25
949,Describe the process of backpropagation.,Medium,Deep Learning,2025-07-04
950,How does a neural network work?,Hard,Deep Learning,2024-10-06
951,What is principal component analysis (PCA)?,Hard,Data Science,2024-10-25
952,Can you explain the concept of gradient descent?,Medium,Machine Learning,2024-08-19
953,Describe a challenging machine learning project you have worked on.,Hard,Machine Learning,2024-09-05
954,What is regularization and why is it important?,Medium,Machine Learning,2025-01-20
955,How do you handle missing values in a dataset?,Easy,Data Science,2025-04-10
956,What is the difference between bagging and boosting?,Medium,Machine Learning,2025-06-12
957,How would you optimize a machine learning model?,Hard,Machine Learning,2024-09-18
958,What is regularization and why is it important?,Easy,Machine Learning,2024-12-05
959,How would you explain the concept of overfitting?,Medium,Machine Learning,2024-09-02
960,What are the advantages of ensemble methods?,Medium,Machine Learning,2024-11-23
961,Describe a challenging machine learning project you have worked on.,Easy,Machine Learning,2025-04-07
962,How do you handle missing values in a dataset?,Easy,Data Science,2025-02-14
963,What is the role of activation functions in deep learning?,Easy,Deep Learning,2024-11-22
964,What is regularization and why is it important?,Medium,Machine Learning,2025-02-28
965,Explain the difference between L1 and L2 regularization.,Medium,Machine Learning,2025-07-28
966,What are the key differences between classification and regression?,Medium,Machine Learning,2024-11-06
967,How does a neural network work?,Easy,Deep Learning,2024-09-25
968,What is principal component analysis (PCA)?,Medium,Data Science,2025-04-06
969,What is the bias-variance tradeoff?,Hard,Machine Learning,2025-06-10
970,Explain cross-validation and its purpose.,Hard,Machine Learning,2024-12-17
971,How do you handle missing values in a dataset?,Medium,Data Science,2025-03-18
972,What is the bias-variance tradeoff?,Easy,Machine Learning,2024-09-29
973,What is the bias-variance tradeoff?,Medium,Machine Learning,2025-03-20
974,What is the difference between bagging and boosting?,Easy,Machine Learning,2025-02-18
975,How does a neural network work?,Medium,Deep Learning,2025-07-27
976,Describe the process of backpropagation.,Hard,Deep Learning,2025-01-08
977,Describe the process of backpropagation.,Medium,Deep Learning,2025-04-08
978,What is the bias-variance tradeoff?,Hard,Machine Learning,2024-12-16
979,How would you approach data cleaning for a large dataset?,Easy,Data Science,2024-12-28
980,How does a neural network work?,Hard,Deep Learning,2024-12-01
981,What are the key differences between classification and regression?,Medium,Machine Learning,2025-06-05
982,How would you explain the concept of overfitting?,Easy,Machine Learning,2025-01-02
983,What is your favorite machine learning algorithm and why?,Medium,Machine Learning,2025-02-05
984,How would you approach data cleaning for a large dataset?,Hard,Data Science,2024-09-17
985,What are the key differences between classification and regression?,Medium,Machine Learning,2025-02-04
986,Explain the difference between L1 and L2 regularization.,Hard,Machine Learning,2025-06-06
987,How would you optimize a machine learning model?,Medium,Machine Learning,2025-06-17
988,What is the role of activation functions in deep learning?,Easy,Deep Learning,2025-03-24
989,What is the difference between bagging and boosting?,Medium,Machine Learning,2025-02-15
990,What are the advantages of ensemble methods?,Easy,Machine Learning,2024-11-03
991,Describe the process of backpropagation.,Medium,Deep Learning,2024-09-05
992,What is regularization and why is it important?,Hard,Machine Learning,2025-01-16
993,What is principal component analysis (PCA)?,Medium,Data Science,2024-09-21
994,How would you approach data cleaning for a large dataset?,Medium,Data Science,2024-08-10
995,Can you explain the concept of gradient descent?,Medium,Machine Learning,2025-02-11
996,What are the key differences between classification and regression?,Medium,Machine Learning,2024-11-07
997,What is the difference between bagging and boosting?,Medium,Machine Learning,2025-03-12
998,What is your favorite machine learning algorithm and why?,Hard,Machine Learning,2024-11-10
999,How would you approach data cleaning for a large dataset?,Hard,Data Science,2025-04-30
1000,What are the key differences between classification and regression?,Easy,Machine Learning,2025-06-22
1001,Tell me about yourself?,Hard,Behavior,2025-08-01
1002,What are your greatest strengths?,Hard,Behavior,2025-08-01
1004,What are your greatest weaknesses?,Medium,Behavior,2025-08-01
1005,Tell me about something you did - or failed to do - that you now feel a little ashamed of?,Medium,Behavior,2025-08-01
1006,Why are you leaving (or did you leave) this position?,Easy,Behavior,2025-08-01
1008,Why should I hire you?,Medium,Behavior,2025-08-01
1009,Aren’t you overqualified for this position?,Hard,Behavior,2025-08-01
1010,Where do you see yourself five years from now?,Medium,Behavior,2025-08-01
1011,"Describe your ideal company, location and job?",Medium,Behavior,2025-08-01
1012,Why do you want to work at our company?,Hard,Behavior,2025-08-01
1013,What are your career options right now?,Medium,Behavior,2025-08-01
1014,Why have you been out of work so long?,Hard,Behavior,2025-08-01
1015,"Tell me honestly about the strong points and weak points of your boss (company, management team, etc)?",Medium,Behavior,2025-08-01
1016,What good books have you read lately?,Medium,Behavior,2025-08-01
1017,Tell me about a situation when your work was criticized?,Easy,Behavior,2025-08-01
1018,What are your outside interests?,Hard,Behavior,2025-08-01
1021,"How do you feel about reporting to a younger person (minority, woman, etc)?",Hard,Behavior,2025-08-01
1023,Would you lie for the company?,Easy,Behavior,2025-08-01
1024,"Looking back, what would you do differently in your life?",Medium,Behavior,2025-08-01
1025,Could you have done better in your last job?,Hard,Behavior,2025-08-01
1026,Can you work under pressure?,Hard,Behavior,2025-08-01
1027,What makes you angry?,Medium,Behavior,2025-08-01
1028,Why aren’t you earning more money at this stage of your career?,Hard,Behavior,2025-08-01
1029,Who has inspired you in your life and why?,Medium,Behavior,2025-08-01
1030,What was the toughest decision you ever had to make?,Medium,Behavior,2025-08-01
1031,Tell me about the most boring job you’ve ever had?,Hard,Behavior,2025-08-01
1032,Have you been absent from work more than a few days in any previous position?,Hard,Behavior,2025-08-01
1033,What changes would you make if you came on board?,Medium,Behavior,2025-08-01
1034,I’m concerned that you don’t have as much experience as we’d like in…(concerned position),Medium,Behavior,2025-08-01
1037,How do you feel about working nights and weekends?,Easy,Behavior,2025-08-01
1038,Are you willing to relocate or travel?,Hard,Behavior,2025-08-01
1039,Do you have the stomach to fire people?,Medium,Behavior,2025-08-01
1040,Why have you had so many jobs?,Medium,Behavior,2025-08-01
1042,"What would you say to your boss if he’s crazy about an idea, but you think it stinks?",Easy,Behavior,2025-08-01
1043,How could you have improved your career progress?,Medium,Behavior,2025-08-01
1044,What would you do if a fellow executive on your own corporate level wasn't pulling his/her weight–and this was hurting your department?,Medium,Behavior,2025-08-01
1045,You™ve been with your firm a long time?,Medium,Behavior,2025-08-01
1046,May I contact your present employer for a reference?,Easy,Behavior,2025-08-01
1047,"Give me an example of your creativity (analytical skill–managing ability, etc)?",Medium,Behavior,2025-08-01
1049,Where could you use some improvement?,Easy,Behavior,2025-08-01
1050,What do you worry about?,Hard,Behavior,2025-08-01
1051,How many hours a week do you normally work?,Easy,Behavior,2025-08-01
1052,What’s the most difficult part of being a (job title)?,Medium,Behavior,2025-08-01
1054,What was the toughest challenge you’ve ever faced?,Hard,Behavior,2025-08-01
1055,Have you consider starting your own business?,Hard,Behavior,2025-08-01
1056,What are your goals?,Medium,Behavior,2025-08-01
1057,What do you for when you hire people?,Easy,Behavior,2025-08-01
1058,Sell me this stapler – (this pencil–this clock–or some other object on interviewer’s desk)?,Easy,Behavior,2025-08-01
1063,What was the toughest part of your la st job?,Hard,Behavior,2025-08-01
1064,How do you define success – and how do you measure up to your own definition?,Easy,Behavior,2025-08-01
1066,"If you won $10 million lottery, would you still work?",Hard,Behavior,2025-08-01
1067,"Looking back on your last position, have you done your best work?",Hard,Behavior,2025-08-01
1068,Why should I hire you from the outside when I could promote someone from within?,Hard,Behavior,2025-08-01
1069,Tell me something negative you’ve heard about our company.,Medium,Behavior,2025-08-01
1070,Why should I hire you from the outside when I could promote someone from within?,Hard,Behavior,2025-08-01
1071,"On a scale of one to ten, rate me as an interviewer?",Easy,Behavior,2025-08-01
1072, What is padding,Hard,Deep Learning,2025-08-01
1073, Sigmoid Vs Softmax,Hard,Deep Learning,2025-08-01
1074, What is PoS Tagging,Easy,Deep Learning,2025-08-01
1075, What is tokenization,Easy,Deep Learning,2025-08-01
1076, What is topic modeling,Medium,Deep Learning,2025-08-01
1077, What is back propagation,Easy,Deep Learning,2025-08-01
1078, What is the idea behind GANs,Medium,Deep Learning,2025-08-01
1079, What is the Computational Graph,Hard,Deep Learning,2025-08-01
1080, What is sigmoid What does it do,Easy,Deep Learning,2025-08-01
1081, What is Named-Entity Recognition,Hard,Deep Learning,2025-08-01
1082, Explain the masked language model,Medium,Deep Learning,2025-08-01
1083, How do you preprocess text in NLP,Easy,Deep Learning,2025-08-01
1084, How do you extract features in NLP,Medium,Deep Learning,2025-08-01
1085, How is wordvec different from Glove,Hard,Deep Learning,2025-08-01
1086, What Are the Different Layers on CNN,Easy,Deep Learning,2025-08-01
1087, What makes CNNs translation invariant,Medium,Deep Learning,2025-08-01
1088, How is fastText different from wordvec,Hard,Deep Learning,2025-08-01
1089, Explain Generative Adversarial Network,Easy,Deep Learning,2025-08-01
1090, What is backward and forward propagation,Hard,Deep Learning,2025-08-01
1091, What are Syntactic and Semantic Analysis,Medium,Deep Learning,2025-08-01
1092, What is a local optimumWhat is a local optimum,Easy,Deep Learning,2025-08-01
1093, Explain gates used in LSTM with their functions,Medium,Deep Learning,2025-08-01
1094, What is ReLU How is it better than sigmoid or tanh,Hard,Deep Learning,2025-08-01
1095, What is transfer learning have you used it before,Easy,Deep Learning,2025-08-01
1096, What is multi-task learning When should it be used,Easy,Deep Learning,2025-08-01
1097, Difference between convex and non-convex cost function,Easy,Deep Learning,2025-08-01
1098, Why do we remove stop words When do we not remove them,Hard,Deep Learning,2025-08-01
1099, Explain the difference between an epoch a batch and an iteration,Medium,Deep Learning,2025-08-01
1100, What is the difference between NLP and NLU,Hard,Deep Learning,2025-08-01
1101, For online learning which one would you prefer SGD or Adagrad and why,Easy,Deep Learning,2025-08-01
1102, What Is a Multi-layer Perceptron MLPWhat Is a Multi-layer Perceptron MLP,Easy,Deep Learning,2025-08-01
1103, Is it always bad to have local optimaIs it always bad to have local optima,Hard,Deep Learning,2025-08-01
1104,"In node2vec, what does embedding represent topological similarity or nearness",Medium,Deep Learning,2025-08-01
1105, What do you understand by Boltzmann Machine and Restricted Boltzmann Machines,Hard,Deep Learning,2025-08-01
1106, How to compute an inverse matrix faster by playing around with some computational tricks,Medium,Deep Learning,2025-08-01
1107, For infrequent/rare words which among CBOW and SkipGram should be used for wordvec training,Medium,Deep Learning,2025-08-01
1108, What is pooling in CNN Why do we need it,Medium,Deep Learning,2025-08-01
1109, Describe the structure of Artificial Neural Networks & RNN(recurrent neural network),Hard,Deep Learning,2025-08-01
1110, How to Select a Batch Size Will selecting a batch size produce better or worse results?,Hard,Deep Learning,2025-08-01
1111, What are N-grams How can we use them,Easy,Deep Learning,2025-08-01
1112, How large should be N for our bag of words when using N-grams,Hard,Deep Learning,2025-08-01
1113, How can you use neural nets for text classification and computer vision,Hard,Deep Learning,2025-08-01
1114, Do gradient descent methods always converge at the same point,Easy,Deep Learning,2025-08-01
1115, What is gradient descent How does it work,Easy,Deep Learning,2025-08-01
1116, What are autoencoders Explain the different layers of autoencoders and mention three practical usages of them,Hard,Deep Learning,2025-08-01
1117, What is vanishing gradient descent,Easy,Deep Learning,2025-08-01
1118, difference between Vanishing gradient Vs Exploding gradient,Medium,Deep Learning,2025-08-01
1119, How to handle dying node problems in case of ReLU activation function,Easy,Deep Learning,2025-08-01
1120, What is the use of the leaky ReLU function,Easy,Deep Learning,2025-08-01
1121, What are the different Deep Learning Frameworks,Hard,Deep Learning,2025-08-01
1122, What is the difference between machine learning and deep learning,Hard,Deep Learning,2025-08-01
1123, What is a dropout layer and how does it help a neural network,Medium,Deep Learning,2025-08-01
1124, Explain why dropout in a neural network acts as a regularizer,Hard,Deep Learning,2025-08-01
1125, How to know whether your model is suffering from the problem of Exploding Gradients,Hard,Deep Learning,2025-08-01
1126, How to handle exploding gradient problem,Medium,Deep Learning,2025-08-01
1127, How Does an LSTM Network Work,Medium,Deep Learning,2025-08-01
1128, What problem does Bi-LSTM solve instead of only LSTM,Hard,Deep Learning,2025-08-01
1129, What is the difference between LSTM and GRU,Hard,Deep Learning,2025-08-01
1130, What happens to the predictions of a CNN if an image is rotated,Easy,Deep Learning,2025-08-01
1131, How does CNN help in translation and rotation invariance of images,Medium,Deep Learning,2025-08-01
1132, Define Term Freuency & Inverse Document Freuency Tf-idf and how to use it for converting text to vector,Hard,Deep Learning,2025-08-01
1133, What are three primary convolutional neural network layers How are they commonly put together,Hard,Deep Learning,2025-08-01
1134, Describe the architecture of a typical Convolutional Neural Network,Hard,Deep Learning,2025-08-01
1135," What do you mean by Dropout and Batch Normalization, When and why use",Hard,Deep Learning,2025-08-01
1136, What is the difference between online and batch learning,Hard,Deep Learning,2025-08-01
1137, Is dropout used on the test set,Hard,Deep Learning,2025-08-01
1138, What is an activation function and discuss the use of an activation function,Easy,Deep Learning,2025-08-01
1139, Explain three different types of activation functions,Easy,Deep Learning,2025-08-01
1140, What is the range of activation functions,Easy,Deep Learning,2025-08-01
1141, Why is Rectified Linear Unit a good activation function,Medium,Deep Learning,2025-08-01
1142, Why don't we use the Relu activation function in the output layer,Easy,Deep Learning,2025-08-01
1143, What can go wrong if we use a linear activation instead of ReLU,Medium,Deep Learning,2025-08-01
1144," Give examples in which a many-to-one RNN architecture is appropriate, Give examples in which a many-to-one RNN architecture is appropriate",Medium,Deep Learning,2025-08-01
1145, What is RNN and How does an RNN work,Medium,Deep Learning,2025-08-01
1146, Why Sigmoid or Tanh is not preferred to be used as the activation function in the hidden layer of the neural network,Medium,Deep Learning,2025-08-01
1147," difference between various Activation functions such as Sigmoid , tanh, Softmax, ReLU, Leaky ReLU",Easy,Deep Learning,2025-08-01
1148, Why Tanh activation function preferred over sigmoid,Easy,Deep Learning,2025-08-01
1149, What are word embeddings Why are they useful,Easy,Deep Learning,2025-08-01
1150, what is WordVec,Medium,Deep Learning,2025-08-01
1151, What are some advantages of using character embeddings instead of word embeddings,Medium,Deep Learning,2025-08-01
1152," How do you get sentence meanings from word embeddings, considering the position of words in the sentence",Easy,Deep Learning,2025-08-01
1153, Would you prefer gradient boosting trees model or logistic regression when doing text classification with bag of words,Easy,Deep Learning,2025-08-01
1154, What is bag of words How we can use it for text vectorization,Medium,Deep Learning,2025-08-01
1155, What are the advantages and disadvantages of bag of words,Hard,Deep Learning,2025-08-01
1156, What is the main difference between Adam and SGD,Medium,Deep Learning,2025-08-01
1157, What are the advantages and disadvantages of SGD over gradient descent,Easy,Deep Learning,2025-08-01
1158," What is the difference between stochastic gradient descent SGD and gradient descent GD, Batch gradient descent, Stochastic gradient descent, Mini-batch gradient descent , what are the pros and cons for each of them",Medium,Deep Learning,2025-08-01
1159, When would you use GD over SDG and vice-versa,Medium,Deep Learning,2025-08-01
1160, How would you choose the number of filters and the filter size at each CNN layer,Hard,Deep Learning,2025-08-01
1161, How can we use CNN for text classification,Medium,Deep Learning,2025-08-01
1162, What are some advantages in using a CNN (convolutional neural network rather than a DNN (dense neural network in an image classification task,Hard,Deep Learning,2025-08-01
1163, Describe two ways to visualize features of a CNN in an image classification task,Medium,Deep Learning,2025-08-01
1164, Why do segmentation CNNs typically have an encoder-decoder style / structure,Hard,Deep Learning,2025-08-01
1165, What is a convolutional layer & Why do we actually need convolutions Can we use fully-connected layers for that,Easy,Deep Learning,2025-08-01
1166, What are the advantages of parameter sharing in case of convolution,Medium,Deep Learning,2025-08-01
1167, Why do we use convolutions for images rather than just Fully Connected layers,Medium,Deep Learning,2025-08-01
1168, Why would you use many small convolutional kernels such as x rather than a few large onesWhy would you use many small convolutional kernels such as x rather than a few large ones,Medium,Deep Learning,2025-08-01
1169, Why we generally use Softmax non-linearity function as the last operation in-network,Medium,Deep Learning,2025-08-01
1170, How does BatchNormalization differ in training and inferencing,Easy,Deep Learning,2025-08-01
1171, How does batch size affect training of neural networks,Easy,Deep Learning,2025-08-01
1172," When using mini batch gradient descent, why is it important to shuffle the data",Easy,Deep Learning,2025-08-01
1173, Give a simple mathematical argument why a mini-batch version of such ML algorithm might be computationally more efficient than a training with full data set,Hard,Deep Learning,2025-08-01
1174, On a simplified and fundamental scale what makes the newly developed BERT model better than traditional NLP models,Medium,Deep Learning,2025-08-01
1175, How would you initialize weights in a neural network,Medium,Deep Learning,2025-08-01
1176, Why weights are initialized with small random numbers in a neural network What happens when weights are all or constant values,Medium,Deep Learning,2025-08-01
1177, Suppose you have a NN with layers and ReLU activations What will happen if we initialize all the weights with the same value,Hard,Deep Learning,2025-08-01
1178, What is backpropagation How does it work Why do we need it,Hard,Deep Learning,2025-08-01
1179, Why large filter sizes in early layers can be a bad choice How to choose filter size,Medium,Deep Learning,2025-08-01
1180, which one is more powerful a layer decision tree or a -layer neural network without any activation function --> Hint non-linearity,Easy,Deep Learning,2025-08-01
1181, Both decision trees and deep neural networks are non-linear classifier ie they separates the space by complicated decision boundary Why then it is so much easier for us to intuitively follow a decision tree model vs a deep neural network,Medium,Deep Learning,2025-08-01
1182, If you could take advantage of multiple CPU cores would you prefer a boosted-tree algorithm over a random forest,Medium,Deep Learning,2025-08-01
